drugbank_id	name	z_score_pan	z_score_sars	z_score_mers	z_score_ibv	z_score_mhv	p_value_pan	p_value_sars	p_value_mers	p_value_ibv	p_value_mhv
DB01029	Irbesartan	-5.984	-3.788	-1.329	-4.894	-4.102	0.001	0.003	0.041	0.001	0.007
DB02152	K-252a	-4.223	-2.34	-0.55	-3.611	-5.469	0.006	0.017	0.141	0.003	0.003
DB08813	Nadroparin	-3.462	-2.652	-1.585	-2.633	-2.976	0.005	0.005	0.041	0.007	0.006
DB00890	Dienestrol	-3.298	-1.215	-2.438	-3.191	-3.256	0.003	0.06	0.011	0.002	0.005
DB00539	Toremifene	-3.226	-2.137	0.018	-2.164	-3.939	0.011	0.014	0.396	0.018	0.012
DB03963	S-(Dimethylarsenic)Cysteine	-3.001	-1.553	0.034	0.227	-3.258	0	0.056	0.148	0.415	0.001
DB08005	4-{[5-chloro-4-(1H-indol-3-yl)pyrimidin-2-yl]amino}-N-ethylpiperidine-1-carboxamide	-2.812	-1.428	-1.025	-3.059	-3.381	0.013	0.042	0.092	0.002	0.008
DB04930	Permethrin	-2.671	-1.119	-1.013	-3.732	-2.511	0.011	0.085	0.074	0.004	0.012
DB01357	Mestranol	-2.644	-1.314	-0.651	-4.268	-2.845	0.01	0.071	0.196	0.003	0.005
DB01744	Camphor	-2.636	-1.67	-1.099	-5.031	-2.888	0.007	0.04	0.093	0.002	0.008
DB00286	Conjugated estrogens	-2.604	-1.64	0.302	-4.199	-2.702	0.007	0.045	0.345	0.003	0.01
DB02187	Equilin	-2.524	-2.076	-0.533	-4.281	-3.653	0.012	0.028	0.22	0.001	0.003
DB00563	Methotrexate	-2.457	-1.743	-2.286	-1.716	-1.329	0.012	0.035	0.007	0.043	0.076
DB00544	Fluorouracil	-2.443	-1.598	-2.495	-3.177	-2.001	0.009	0.049	0.007	0.006	0.028
DB07931	Hexestrol	-2.443	-1.291	-0.333	-4.18	-3.1	0.008	0.067	0.288	0.002	0.006
DB00244	Mesalazine	-2.438	-2.496	-0.603	-0.009	-1.066	0.005	0.003	0.163	0.443	0.106
DB01033	Mercaptopurine	-2.437	-0.753	-2.796	-2.549	-0.47	0.02	0.164	0.001	0.012	0.248
DB00715	Paroxetine	-2.419	-1.315	-1.106	-1.052	-1.328	0.014	0.065	0.084	0.111	0.069
DB00852	Pseudoephedrine	-2.415	-1.827	-0.563	-1.05	-1.159	0.014	0.033	0.234	0.109	0.101
DB01769	3-sulfino-L-alanine	-2.41	-1.399	-0.142	-2.765	-1.798	0.015	0.05	0.359	0.003	0.027
DB00614	Furazolidone	-2.389	-1.677	-2.532	-3.48	-2.115	0.01	0.029	0.008	0.011	0.015
