cmap_instance	drugbank_id	name	dose	cell_line	mers1_es	mers1_p	sars1_es	sars1_p	sars2_es	sars2_p
1	DB00331	Metformin	0.00001	MCF7	0	0.99	0.568005292	0.03	0.422234362	0.01
2	DB00331	Metformin	0.00001	MCF7	0	1	0.456704802	0.1	-0.469153614	0.99
3	DB00331	Metformin	0.0000001	MCF7	0	1	0.547290321	0.01	0	0.88
4	DB00331	Metformin	0.001	MCF7	0	1	0	0.99	0.540214604	0.01
21	DB00914	Phenformin	0.00001	MCF7	0	1	0	0.98	0	0.93
23	DB00313	Valproic Acid	0.001	MCF7	0.438878283	0.01	0	0.99	0	0.91
61	DB00331	Metformin	0.00001	MCF7	0	1	0	1	0	0.95
121	DB00783	Estradiol	0.00000001	MCF7	0	1	0	1	0	0.99
123	DB01234	Dexamethasone	0.000001	MCF7	0	1	0	1	0	1
124	DB00244	Mesalazine	0.0001	MCF7	0	1	-0.561111111	1	0	0.97
141	DB00672	Chlorpropamide	0.0001	MCF7	0	1	0	1	-0.516616701	0.99
142	DB01124	Tolbutamide	0.0001	MCF7	0.584517753	0	0	1	0.628387844	0
143	DB00675	Tamoxifen	0.000001	MCF7	0.537010476	0	0	1	0.455715729	0
144	DB00672	Chlorpropamide	0.0001	MCF7	0.631447476	0	0	1	0.672054422	0
161	DB00661	Verapamil	0.00001	MCF7	0	1	0	1	0	1
164	DB14063	Dexverapamil	0.00001	MCF7	0	1	-0.752083171	1	0	1
165	DB00990	Exemestane	0.00000001	MCF7	0.60489921	0	0	1	0	1
166	DB00533	Rofecoxib	0.00001	MCF7	0	1	0	1	0	1
167	DB00321	Amitriptyline	0.000001	MCF7	0	1	0	0.97	0	0.91
168	DB00605	Sulindac	0.0001	MCF7	0	1	0	1	0	0.93
169	DB00864	Tacrolimus	0.000001	MCF7	0.549367145	0	0	1	0	0.99
202	DB00481	Raloxifene	0.0000001	MCF7	0	1	0	1	0	0.98
203	DB00179	Masoprocol	0.000001	MCF7	0	1	0	1	0	0.94
204	DB00795	Sulfasalazine	0.0001	MCF7	0	1	0	0.99	0	0.95
205	DB00533	Rofecoxib	0.00001	MCF7	0	1	0	0.99	0.380067054	0.05
206	DB00482	Celecoxib	0.00001	MCF7	0	1	0.52840688	0.01	0.373824921	0.03
221	DB05134	Tanespimycin	0.0000001	MCF7	0	1	0	0.94	0.459874792	0
223	DB02877	Arotinoid acid	0.0000001	MCF7	0.390695588	0	0	0.94	0.343840466	0.05
224	DB00755	Tretinoin	0.000001	MCF7	0.308968155	0.01	0	0.87	0	0.65
251	DB00533	Rofecoxib	0.00001	MCF7	0	1	0	0.97	-0.370626171	0.98
252	DB00482	Celecoxib	0.00001	MCF7	0	0.97	0	0.91	0	0.77
255	DB01234	Dexamethasone	0.000001	MCF7	0	0.99	0	0.96	0	0.79
256	DB00533	Rofecoxib	0.00001	MCF7	0.354521325	0	0	0.95	0.51310822	0
258	DB02656	LY-294002	0.00001	MCF7	0.422898763	0	0	0.98	0	0.87
261	DB00091	Ciclosporin	0.000001	MCF7	0.263666905	0.07	0.458248372	0.01	0	0.81
262	DB00328	Indometacin	0.00002	MCF7	0	0.97	0.46073365	0	0.320243136	0.01
263	DB00636	Clofibrate	0.00015	MCF7	-0.323968497	0.98	0	0.83	0	0.8
265	DB00860	Prednisolone	0.000001	MCF7	0.45059412	0	0	0.91	0.349004684	0
266	DB01041	Thalidomide	0.0001	MCF7	0	0.99	0	0.93	0.395212641	0.02
267	DB01645	Genistein	0.000001	MCF7	0.440720558	0	0	0.91	0.366367195	0.03
268	DB01645	Genistein	0.000001	MCF7	0	0.98	0	0.88	0.416578848	0.02
281	DB00687	Fludrocortisone	0.000001	MCF7	0	1	0	0.98	0.478645027	0
282	DB00687	Fludrocortisone	0.000001	MCF7	0	0.99	0	0.96	0.401829519	0.05
283	DB04216	Quercetin	0.000001	MCF7	0	1	0	1	0.490000704	0
284	DB00864	Tacrolimus	0.000001	MCF7	0	1	0	1	0.559316942	0
307	DB00605	Sulindac	0.00005	MCF7	0.505845767	0	0	1	0	0.93
309	DB06246	Exisulind	0.00005	MCF7	0.498410574	0.01	0	0.99	0	0.94
310	DB00947	Fulvestrant	0.00000001	MCF7	0.635927751	0	0	1	0	0.95
311	DB04331	Monastrol	0.0001	MCF7	0	0.97	0	0.9	0	0.78
312	DB02010	Staurosporine	0.000001	MCF7	0.54668239	0	0	0.96	0	0.83
314	DB06246	Exisulind	0.00005	MCF7	0	0.99	-0.422873375	1	0.267277848	0.1
315	DB00945	Acetylsalicylic acid	0.0001	MCF7	0	0.94	0	0.89	-0.457373331	1
316	DB02266	Flufenamic Acid	0.00001	MCF7	0.269455255	0.1	0.323909772	0.22	0	0.72
318	DB02656	LY-294002	0.00001	MCF7	0.328294897	0.01	0	0.96	-0.446376624	1
326	DB00877	Sirolimus	0.0000001	MCF7	0.506987443	0	0	0.99	0	0.91
328	DB02656	LY-294002	0.00001	MCF7	0.579743488	0	0	1	0	0.92
333	DB00586	Diclofenac	0.00001	MCF7	0.390622921	0	0	0.94	0	0.87
334	DB01033	Mercaptopurine	0.0001	MCF7	0.442140039	0	0	0.97	0	0.94
335	DB01115	Nifedipine	0.00001	MCF7	0.222128878	0.07	-0.325974784	0.94	0	0.71
336	DB01054	Nitrendipine	0.00001	MCF7	0	0.97	-0.361111111	1	0	0.75
337	DB01023	Felodipine	0.00001	MCF7	0	0.97	-0.283440994	0.9	0	0.77
338	DB00993	Azathioprine	0.0001	MCF7	0.297535659	0.03	-0.486092303	1	0	0.78
341	DB06819	Phenylbutyric acid	0.0001	MCF7	0.359166234	0	0.652745998	0	0.598029694	0
342	DB01051	Novobiocin	0.0001	MCF7	0	1	0.489301372	0.02	0.487605274	0
343	DB08162	Fasudil	0.00001	MCF7	0	1	0.590223623	0	0.524241793	0
344	DB08831	2-deoxyglucose	0.01	MCF7	0	0.99	0	0.98	0.438518767	0
345	DB00313	Valproic Acid	0.01	MCF7	0.346768804	0.03	0	0.96	0	0.84
346	DB00313	Valproic Acid	0.002	MCF7	0.391908536	0	0	0.98	-0.317289341	0.89
347	DB00313	Valproic Acid	0.0005	MCF7	0.396898827	0	0	0.98	0	0.9
348	DB00313	Valproic Acid	0.00005	MCF7	0.413177616	0	0	0.96	0.525961351	0
361	DB02656	LY-294002	0.00001	HL60	0	1	0	0.97	0.550811754	0
362	DB00877	Sirolimus	0.0000001	HL60	0	1	0	0.93	0	0.92
363	DB06819	Phenylbutyric acid	0.0001	HL60	0	0.99	0	0.99	0	0.9
365	DB00783	Estradiol	0.0000001	MCF7	0	0.99	0	0.98	0.387383802	0.01
366	DB00619	Imatinib	0.00001	MCF7	0.354722347	0	0	0.98	0	0.85
367	DB00947	Fulvestrant	0.000001	MCF7	0.374794146	0.01	0	0.99	0	0.88
369	DB00412	Rosiglitazone	0.00001	HL60	0	1	0.58242146	0.01	0.444766445	0.01
370	DB00197	Troglitazone	0.00001	HL60	0	1	0	0.98	0	0.97
371	DB00533	Rofecoxib	0.00001	HL60	0	0.99	0	1	0	0.9
373	DB00783	Estradiol	0.00000001	ssMCF7	0.3736593	0.04	0	0.95	0.484203209	0
374	DB01234	Dexamethasone	0.000001	ssMCF7	0.4598231	0	0	1	0.564709335	0
375	DB00675	Tamoxifen	0.000001	ssMCF7	0.489118139	0	0	0.98	0	0.89
376	DB00481	Raloxifene	0.0000001	ssMCF7	0.531045343	0	0	0.97	0.538023781	0
377	DB00482	Celecoxib	0.00001	MCF7	0	1	0	0.99	0	0.95
378	DB00864	Tacrolimus	0.000001	MCF7	0	1	0	0.99	0	0.94
379	DB14206	Cobalt chloride	0.0001	MCF7	0	1	0.65879835	0	0	0.91
380	DB00675	Tamoxifen	0.000001	MCF7	0	0.99	0	0.99	0	0.96
381	DB05134	Tanespimycin	0.000001	MCF7	0.436480954	0	0.494236906	0.04	0.384218755	0
382	DB01645	Genistein	0.00001	MCF7	0.407510434	0	0.657361144	0	0	0.84
383	DB14206	Cobalt chloride	0.0001	MCF7	0.376698275	0	0	1	0	0.88
384	DB00755	Tretinoin	0.000001	MCF7	0.406101551	0	0.52211067	0.01	-0.435664407	0.99
387	DB00783	Estradiol	0.00000001	HL60	0	1	0	0.98	0	0.95
388	DB00481	Raloxifene	0.0000001	HL60	0	1	0.497993359	0.06	0.517481738	0.01
389	DB08059	Wortmannin	0.00000001	HL60	0	1	0.537525618	0.03	0.525557252	0
390	DB00755	Tretinoin	0.000001	HL60	0.369556779	0	0.405555556	0.14	0	0.91
401	DB02656	LY-294002	0.00001	ssMCF7	-0.366908298	1	-0.483333333	1	-0.394348894	0.97
402	DB00877	Sirolimus	0.0000001	ssMCF7	0	0.99	0	0.96	0	0.79
404	DB08059	Wortmannin	0.00000001	ssMCF7	0	0.99	-0.622222222	1	0	0.82
407	DB06819	Phenylbutyric acid	0.001	MCF7	0	0.99	0	0.95	0.408423069	0.01
408	DB06819	Phenylbutyric acid	0.001	MCF7	0.463539848	0	0	0.97	0.463260365	0
409	DB00313	Valproic Acid	0.001	HL60	0.424827789	0	0	0.98	0	0.91
410	DB00313	Valproic Acid	0.01	HL60	0.397788395	0.01	0	0.97	0.474703478	0
