PubChem CID,Titles,URLs
2719,Identification of five antiviral compounds from the Pandemic Response Box targeting SARS-CoV-2;16 validated hits from 20 prioritized compounds by Weston et al.;27 hits from an in-vitro COVID-19 drug screen from Jeon et al.;Reversal of Infected Host Gene Expression Identifies Repurposed Drug Candidates for COVID-19,https://www.biorxiv.org/content/10.1101/2020.05.17.100404v1;https://www.biorxiv.org/content/10.1101/2020.03.25.008482v2;https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1;https://www.biorxiv.org/content/10.1101/2020.04.07.030734v1
501640,Identification of five antiviral compounds from the Pandemic Response Box targeting SARS-CoV-2,https://www.biorxiv.org/content/10.1101/2020.05.17.100404v1
446541,Identification of Drugs Blocking SARS-CoV-2 Infection using Human Pluripotent Stem Cell-derived Colonic Organoids;Identification of Candidate COVID-19 Therapeutics using hPSC-derived Lung Organoids,https://www.biorxiv.org/content/10.1101/2020.05.02.073320v1;https://www.biorxiv.org/content/10.1101/2020.05.05.079095v1
6239,Identification of Drugs Blocking SARS-CoV-2 Infection using Human Pluripotent Stem Cell-derived Colonic Organoids;Identification of Candidate COVID-19 Therapeutics using hPSC-derived Lung Organoids,https://www.biorxiv.org/content/10.1101/2020.05.02.073320v1;https://www.biorxiv.org/content/10.1101/2020.05.05.079095v1
5291,Identification of Candidate COVID-19 Therapeutics using hPSC-derived Lung Organoids;16 validated hits from 20 prioritized compounds by Weston et al.,https://www.biorxiv.org/content/10.1101/2020.05.05.079095v1;https://www.biorxiv.org/content/10.1101/2020.03.25.008482v2
2726,Inhibition of the replication of SARS-CoV-2 in human cells by the FDA-approved drug chlorpromazine;Inhibition of the replication of SARS-CoV-2 in human cells by the FDA-approved drug chlorpromazine;16 validated hits from 20 prioritized compounds by Weston et al.,https://www.biorxiv.org/content/10.1101/2020.05.05.079608v1;https://www.biorxiv.org/content/10.1101/2020.05.05.079608v1;https://www.biorxiv.org/content/10.1101/2020.03.25.008482v2
10324367,"Boceprevir, GC-376, and calpain inhibitors II, XII inhibit SARS-CoV-2 viral replication by targeting the viral main protease",https://www.biorxiv.org/content/10.1101/2020.04.20.051581v2
121855,"Boceprevir, GC-376, and calpain inhibitors II, XII inhibit SARS-CoV-2 viral replication by targeting the viral main protease",https://www.biorxiv.org/content/10.1101/2020.04.20.051581v2
16760340,"Boceprevir, GC-376, and calpain inhibitors II, XII inhibit SARS-CoV-2 viral replication by targeting the viral main protease",https://www.biorxiv.org/content/10.1101/2020.04.20.051581v2
131953216,"Boceprevir, GC-376, and calpain inhibitors II, XII inhibit SARS-CoV-2 viral replication by targeting the viral main protease",https://www.biorxiv.org/content/10.1101/2020.04.20.051581v2
51634,Repurposing of Miglustat to inhibit the coronavirus Severe Acquired Respiratory Syndrome SARS-CoV-2,https://www.biorxiv.org/content/10.1101/2020.05.18.101691v1
45375808,Sofosbuvir protects human brain organoids against SARS-CoV-2,https://www.biorxiv.org/content/10.1101/2020.05.30.125856v1
24199313,Molecules inhibit the enzyme activity of 3-chymotrypsin-like cysteine protease of SARS-CoV-2 virus: the experimental and theory studies,https://www.biorxiv.org/content/10.1101/2020.05.28.120642v2
7673,Molecules inhibit the enzyme activity of 3-chymotrypsin-like cysteine protease of SARS-CoV-2 virus: the experimental and theory studies,https://www.biorxiv.org/content/10.1101/2020.05.28.120642v2
23985,Molecules inhibit the enzyme activity of 3-chymotrypsin-like cysteine protease of SARS-CoV-2 virus: the experimental and theory studies,https://www.biorxiv.org/content/10.1101/2020.05.28.120642v2
4055,Molecules inhibit the enzyme activity of 3-chymotrypsin-like cysteine protease of SARS-CoV-2 virus: the experimental and theory studies,https://www.biorxiv.org/content/10.1101/2020.05.28.120642v2
9966051,Several FDA-approved drugs effectively inhibit SARS-CoV-2 infection in vitro,https://www.biorxiv.org/content/10.1101/2020.06.05.135996v1
2800,Several FDA-approved drugs effectively inhibit SARS-CoV-2 infection in vitro,https://www.biorxiv.org/content/10.1101/2020.06.05.135996v1
260,Several FDA-approved drugs effectively inhibit SARS-CoV-2 infection in vitro,https://www.biorxiv.org/content/10.1101/2020.06.05.135996v1
3036780,Several FDA-approved drugs effectively inhibit SARS-CoV-2 infection in vitro,https://www.biorxiv.org/content/10.1101/2020.06.05.135996v1
121304016,Morphological Cell Profiling of SARS-CoV-2 Infection Identifies Drug Repurposing Candidates for COVID-19 from Mirabelli et al.;Simeprevir suppresses SARS-CoV-2 replication and synergizes with remdesivir;27 hits from an in-vitro COVID-19 drug screen from Jeon et al.;All 30 drugs from a screen for COVID-19 by Riva et al. ,https://www.biorxiv.org/content/10.1101/2020.05.27.117184v1;https://doi.org/10.1101/2020.05.26.116020;https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1;https://www.biorxiv.org/content/10.1101/2020.04.16.044016v1
4477,Morphological Cell Profiling of SARS-CoV-2 Infection Identifies Drug Repurposing Candidates for COVID-19 from Mirabelli et al.;3 drugs that regulate autophagy and shown to block COVID-19;27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.05.27.117184v1;https://www.biorxiv.org/content/10.1101/2020.04.15.997254v1;https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
49803313,Morphological Cell Profiling of SARS-CoV-2 Infection Identifies Drug Repurposing Candidates for COVID-19 from Mirabelli et al.;27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.05.27.117184v1;https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
16722836,Morphological Cell Profiling of SARS-CoV-2 Infection Identifies Drug Repurposing Candidates for COVID-19 from Mirabelli et al.,https://www.biorxiv.org/content/10.1101/2020.05.27.117184v1
2157,Morphological Cell Profiling of SARS-CoV-2 Infection Identifies Drug Repurposing Candidates for COVID-19 from Mirabelli et al.,https://www.biorxiv.org/content/10.1101/2020.05.27.117184v1
2520,Morphological Cell Profiling of SARS-CoV-2 Infection Identifies Drug Repurposing Candidates for COVID-19 from Mirabelli et al.,https://www.biorxiv.org/content/10.1101/2020.05.27.117184v1
135398508,Morphological Cell Profiling of SARS-CoV-2 Infection Identifies Drug Repurposing Candidates for COVID-19 from Mirabelli et al.,https://www.biorxiv.org/content/10.1101/2020.05.27.117184v1
2794,Morphological Cell Profiling of SARS-CoV-2 Infection Identifies Drug Repurposing Candidates for COVID-19 from Mirabelli et al.;All 30 drugs from a screen for COVID-19 by Riva et al. ,https://www.biorxiv.org/content/10.1101/2020.05.27.117184v1;https://www.biorxiv.org/content/10.1101/2020.04.16.044016v1
2723601,Morphological Cell Profiling of SARS-CoV-2 Infection Identifies Drug Repurposing Candidates for COVID-19 from Mirabelli et al.,https://www.biorxiv.org/content/10.1101/2020.05.27.117184v1
5328940,Morphological Cell Profiling of SARS-CoV-2 Infection Identifies Drug Repurposing Candidates for COVID-19 from Mirabelli et al.,https://www.biorxiv.org/content/10.1101/2020.05.27.117184v1
122019,Morphological Cell Profiling of SARS-CoV-2 Infection Identifies Drug Repurposing Candidates for COVID-19 from Mirabelli et al.,https://www.biorxiv.org/content/10.1101/2020.05.27.117184v1
4168,Morphological Cell Profiling of SARS-CoV-2 Infection Identifies Drug Repurposing Candidates for COVID-19 from Mirabelli et al.,https://www.biorxiv.org/content/10.1101/2020.05.27.117184v1
44247568,Morphological Cell Profiling of SARS-CoV-2 Infection Identifies Drug Repurposing Candidates for COVID-19 from Mirabelli et al.,https://www.biorxiv.org/content/10.1101/2020.05.27.117184v1
9853053,Morphological Cell Profiling of SARS-CoV-2 Infection Identifies Drug Repurposing Candidates for COVID-19 from Mirabelli et al.,https://www.biorxiv.org/content/10.1101/2020.05.27.117184v1
126456119,Morphological Cell Profiling of SARS-CoV-2 Infection Identifies Drug Repurposing Candidates for COVID-19 from Mirabelli et al.,https://www.biorxiv.org/content/10.1101/2020.05.27.117184v1
24873435,Simeprevir suppresses SARS-CoV-2 replication and synergizes with remdesivir,https://doi.org/10.1101/2020.05.26.116020
3652,16 validated hits from 20 prioritized compounds by Weston et al.,https://www.biorxiv.org/content/10.1101/2020.03.25.008482v2
40692,16 validated hits from 20 prioritized compounds by Weston et al.;27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.25.008482v2;https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
