pubchem_cid	protein	docking_score
49846579	protease	-9.70
49846579	polymerase	-10.40
49846579	papainlike	-10.00
49846579	ace2	-11.30
49846579	spike_rbd	-8.80
49846579	nucleocapsid	-12.20
49846579	tmprss2	-11.30
67683363	protease	-9.20
67683363	polymerase	-9.30
67683363	papainlike	-9.80
67683363	ace2	-10.60
67683363	spike_rbd	-8.90
67683363	nucleocapsid	-11.20
67683363	tmprss2	-10.20
67505836	protease	-10.20
67505836	polymerase	-10.60
67505836	papainlike	-9.70
67505836	ace2	-11.10
67505836	spike_rbd	-9.80
67505836	nucleocapsid	-11.60
67505836	tmprss2	-10.60
57956385	protease	-9.20
57956385	polymerase	-10.50
57956385	papainlike	-9.10
57956385	ace2	-10.60
57956385	spike_rbd	-8.50
57956385	nucleocapsid	-11.20
57956385	tmprss2	-10.00
60838	protease	-9.00
60838	polymerase	-9.30
60838	papainlike	-9.20
60838	ace2	-10.30
60838	spike_rbd	-8.90
60838	nucleocapsid	-11.60
60838	tmprss2	-9.10
71661251	protease	-9.40
71661251	polymerase	-9.70
71661251	papainlike	-9.20
71661251	ace2	-10.40
71661251	spike_rbd	-9.60
71661251	nucleocapsid	-11.70
71661251	tmprss2	-9.20
2724385	protease	-9.10
2724385	polymerase	-8.80
2724385	papainlike	-9.70
2724385	ace2	-11.20
2724385	spike_rbd	-8.30
2724385	nucleocapsid	-10.80
2724385	tmprss2	-9.10
6297	protease	-9.10
6297	polymerase	-9.60
6297	papainlike	-8.70
6297	ace2	-10.60
6297	spike_rbd	-8.80
6297	nucleocapsid	-11.00
6297	tmprss2	-9.60
8223	protease	-9.20
8223	polymerase	-10.30
8223	papainlike	-8.90
8223	ace2	-10.10
8223	spike_rbd	-9.30
8223	nucleocapsid	-10.90
8223	tmprss2	-9.80
129394076	protease	-8.90
129394076	polymerase	-9.40
129394076	papainlike	-9.30
129394076	ace2	-10.30
129394076	spike_rbd	-8.90
129394076	nucleocapsid	-11.70
129394076	tmprss2	-8.60
74787539	protease	-9.30
74787539	polymerase	-10.30
74787539	papainlike	-9.10
74787539	ace2	-10.60
74787539	spike_rbd	-8.70
74787539	nucleocapsid	-11.40
74787539	tmprss2	-9.20
644241	protease	-8.60
644241	polymerase	-10.20
644241	papainlike	-9.10
644241	ace2	-10.80
644241	spike_rbd	-9.10
644241	nucleocapsid	-10.50
644241	tmprss2	-9.40
11965427	protease	-9.00
11965427	polymerase	-8.90
11965427	papainlike	-9.00
11965427	ace2	-10.10
11965427	spike_rbd	-8.60
11965427	nucleocapsid	-10.50
11965427	tmprss2	-9.00
454468	protease	-7.80
454468	polymerase	-9.60
454468	papainlike	-8.70
454468	ace2	-9.10
454468	spike_rbd	-8.80
454468	nucleocapsid	-10.40
454468	tmprss2	-9.00
454469	protease	-8.20
454469	polymerase	-9.90
454469	papainlike	-9.20
454469	ace2	-9.30
454469	spike_rbd	-8.50
454469	nucleocapsid	-10.00
454469	tmprss2	-8.40
135449332	protease	-8.10
135449332	polymerase	-9.70
135449332	papainlike	-8.90
135449332	ace2	-9.90
135449332	spike_rbd	-8.70
135449332	nucleocapsid	-10.70
135449332	tmprss2	-9.10
10531	protease	-9.00
10531	polymerase	-10.20
10531	papainlike	-9.30
10531	ace2	-10.90
10531	spike_rbd	-8.80
10531	nucleocapsid	-11.50
10531	tmprss2	-9.60
68498031	protease	-8.70
68498031	polymerase	-11.20
68498031	papainlike	-9.30
68498031	ace2	-10.30
68498031	spike_rbd	-9.60
68498031	nucleocapsid	-12.00
68498031	tmprss2	-9.30
54732242	protease	-8.10
54732242	polymerase	-9.30
54732242	papainlike	-8.90
54732242	ace2	-9.70
54732242	spike_rbd	-8.60
54732242	nucleocapsid	-11.00
54732242	tmprss2	-8.90
53627520	protease	-8.10
53627520	polymerase	-9.00
53627520	papainlike	-8.00
53627520	ace2	-9.40
53627520	spike_rbd	-7.40
53627520	nucleocapsid	-9.10
53627520	tmprss2	-7.90
151171	protease	-8.80
151171	polymerase	-9.70
151171	papainlike	-9.20
151171	ace2	-10.10
151171	spike_rbd	-8.40
151171	nucleocapsid	-10.70
151171	tmprss2	-9.60
6918296	protease	-8.80
6918296	polymerase	-9.90
6918296	papainlike	-8.70
6918296	ace2	-10.20
6918296	spike_rbd	-8.50
6918296	nucleocapsid	-12.20
6918296	tmprss2	-9.00
14179008	protease	-8.80
14179008	polymerase	-8.70
14179008	papainlike	-8.70
14179008	ace2	-8.90
14179008	spike_rbd	-8.50
14179008	nucleocapsid	-10.30
14179008	tmprss2	-8.40
16678941	protease	-9.30
16678941	polymerase	-9.20
16678941	papainlike	-8.70
16678941	ace2	-11.00
16678941	spike_rbd	-8.80
16678941	nucleocapsid	-10.30
16678941	tmprss2	-9.90
468595	protease	-8.80
468595	polymerase	-8.80
468595	papainlike	-9.00
468595	ace2	-10.20
468595	spike_rbd	-8.80
468595	nucleocapsid	-10.40
468595	tmprss2	-8.30
14179013	protease	-8.90
14179013	polymerase	-8.40
14179013	papainlike	-8.30
14179013	ace2	-9.20
14179013	spike_rbd	-8.50
14179013	nucleocapsid	-11.00
14179013	tmprss2	-8.30
23725625	protease	-8.50
23725625	polymerase	-8.90
23725625	papainlike	-8.20
23725625	ace2	-9.40
23725625	spike_rbd	-8.40
23725625	nucleocapsid	-10.30
23725625	tmprss2	-8.30
5291	protease	-8.20
5291	polymerase	-9.20
5291	papainlike	-9.00
5291	ace2	-10.00
5291	spike_rbd	-8.50
5291	nucleocapsid	-10.20
5291	tmprss2	-8.40
454470	protease	-8.60
454470	polymerase	-9.90
454470	papainlike	-7.40
454470	ace2	-10.00
454470	spike_rbd	-8.80
454470	nucleocapsid	-10.00
454470	tmprss2	-7.80
57417226	protease	-8.30
57417226	polymerase	-8.60
57417226	papainlike	-8.60
57417226	ace2	-8.60
57417226	spike_rbd	-7.90
57417226	nucleocapsid	-9.60
57417226	tmprss2	-8.60
46220502	protease	-8.30
46220502	polymerase	-8.50
46220502	papainlike	-8.30
46220502	ace2	-9.40
46220502	spike_rbd	-8.40
46220502	nucleocapsid	-10.10
46220502	tmprss2	-7.70
6604102	protease	-7.90
6604102	polymerase	-8.80
6604102	papainlike	-8.30
6604102	ace2	-9.00
6604102	spike_rbd	-8.20
6604102	nucleocapsid	-10.40
6604102	tmprss2	-7.60
441243	protease	-8.30
441243	polymerase	-9.50
441243	papainlike	-8.80
441243	ace2	-10.10
441243	spike_rbd	-8.00
441243	nucleocapsid	-10.20
441243	tmprss2	-7.80
65999	protease	-8.80
65999	polymerase	-8.60
65999	papainlike	-9.10
65999	ace2	-10.20
65999	spike_rbd	-8.90
65999	nucleocapsid	-10.10
65999	tmprss2	-8.80
9853053	protease	-8.40
9853053	polymerase	-8.30
9853053	papainlike	-6.50
9853053	ace2	-11.00
9853053	spike_rbd	-7.80
9853053	nucleocapsid	-9.60
9853053	tmprss2	-8.80
24826799	protease	-8.60
24826799	polymerase	-10.10
24826799	papainlike	-8.80
24826799	ace2	-10.20
24826799	spike_rbd	-8.40
24826799	nucleocapsid	-10.40
24826799	tmprss2	-8.80
